High School,TEA ID,2024 College Enrollment Level,2024 College Enrollment %
EMMETT J. CONRAD HIGH SCHOOL,57905028,Not Enrolled,0.462093863
FRANKLIN D. ROOSEVELT HIGH SCHOOL OF INNOVATION,57905013,Not Enrolled,0.701986755
H. GRADY SPRUCE HIGH SCHOOL,57905017,Not Enrolled,0.6
HILLCREST HIGH SCHOOL,57905006,Not Enrolled,0.358166189
"INNOVATION, DESIGN, ENTREPRENEURSHIP ACADEMY AT J.W. FANNIN",57905382,Not Enrolled,0.488372093
IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,57905035,Not Enrolled,n/a
JAMES MADISON HIGH SCHOOL,57905032,Not Enrolled,0.592592593
JUDGE BAREFOOT SANDERS LAW MAGNET,57905038,Not Enrolled,0.198198198
JUSTIN F. KIMBALL HIGH SCHOOL,57905008,Not Enrolled,0.594142259
KATHLYN J. GILLIAM COLLEGIATE ACADEMY,57905085,Not Enrolled,0.121621622
LINCOLN HIGH SCHOOL,57905009,Not Enrolled,0.657894737
MARVIN E. ROBINSON SCHOOL OF BUSINESS AND MANAGEMENT AT TOWNVIEW,57905033,Not Enrolled,0.302752294
MOISES E. MOLINA HIGH SCHOOL,57905005,Not Enrolled,0.438053097
NEW TECH HIGH SCHOOL AT B.F. DARRELL,57905003,Not Enrolled,0.541666667
NORTH DALLAS HIGH SCHOOL,57905024,Not Enrolled,0.5125
NORTH LAKE EARLY COLLEGE HIGH SCHOOL,57905387,Not Enrolled,0.04
ROSIE M. COLLINS SORRELLS SCHOOL OF EDUCATION & SOCIAL SERVICES,57905037,Not Enrolled,0.131578947
SCHOOL FOR THE TALENTED & GIFTED AT TOWNVIEW,57905039,Not Enrolled,0.075630252
SCHOOL OF HEALTH PROFESSIONS AT TOWNVIEW,57905036,Not Enrolled,0.290598291
SCHOOL OF SCIENCE & ENGINEERING AT TOWNVIEW,57905026,Not Enrolled,0.064814815
SEAGOVILLE HIGH SCHOOL,57905015,Not Enrolled,0.618461538
SKYLINE HIGH SCHOOL,57905025,Not Enrolled,0.475167785
SOUTH OAK CLIFF HIGH SCHOOL,57905016,Not Enrolled,0.611295681
SUNSET HIGH SCHOOL,57905018,Not Enrolled,0.491304348
THOMAS JEFFERSON HIGH SCHOOL,57905007,Not Enrolled,0.634615385
TRINIDAD GARZA EARLY COLLEGE HIGH SCHOOL,57905088,Not Enrolled,0.01
W.H. ADAMSON HIGH SCHOOL,57905002,Not Enrolled,0.504373178
"W.L. LASSITER, JR. EARLY COLLEGE HIGH SCHOOL AT EL CENTRO COLLEGE",57905090,Not Enrolled,0
W.T. WHITE HIGH SCHOOL,57905021,Not Enrolled,0.402912621
W.W. SAMUELL HIGH SCHOOL,57905014,Not Enrolled,0.592682927
WILMER-HUTCHINS HIGH SCHOOL,57905380,Not Enrolled,0.557788945
WOODROW WILSON HIGH SCHOOL,57905022,Not Enrolled,0.32460733
DeSoto High School,57906001,Not Enrolled,0.418344519
Duncanville High School,57907001,Not Enrolled,0.5408867
Mary E. Smithey Pace High School,57907004,Not Enrolled,0.921568627
Garland High School,57909002,Not Enrolled,0.513888889
Lakeview Centennial High School,57909005,Not Enrolled,0.333996024
Naaman Forest High School,57909008,Not Enrolled,0.47628866
North Garland High School,57909004,Not Enrolled,0.3488
Rowlett High School,57909009,Not Enrolled,0.461538462
Sachse High School,57909010,Not Enrolled,0.320813772
South Garland High School,57909003,Not Enrolled,0.622718053
Crosswinds High School,57910009,Not Enrolled,0.884187082
Dubiski Career High School,57910010,Not Enrolled,0.24925816
Grand Prairie Fine Arts Academy,57910001,Not Enrolled,n/a
Grand Prairie High School,57910002,Not Enrolled,0.479245283
South Grand Prairie High School,57910003,Not Enrolled,0.338235294
Irving High School,57912002,Not Enrolled,0.519736842
Jack E. Singley Academy,57912006,Not Enrolled,0.354285714
MacArthur High School,57912003,Not Enrolled,0.449346405
Nimitz High School,57912004,Not Enrolled,0.486388385
KIPP Oak Cliff Academy,227820030,Not Enrolled,n/a
KIPP Pleasant Grove Leadership Academy,227820073,Not Enrolled,n/a
Lancaster High School,57913001,Not Enrolled,0.481765835
Horn High School,57914005,Not Enrolled,0.472868217
Mesquite High School,57914001,Not Enrolled,0.511111111
North Mesquite High School,57914002,Not Enrolled,0.418552036
Poteet High School,57914004,Not Enrolled,0.418994413
Vanguard High School,57914006,Not Enrolled,0.367924528
West Mesquite High School,57914003,Not Enrolled,0.45021645
Berkner High School,57916005,Not Enrolled,0.385892116
J.J. Pearce High School,57916004,Not Enrolled,0.320598007
Lake Highlands High School,57916002,Not Enrolled,0.327272727
Richardson High School,57916003,Not Enrolled,0.32807571
Uplift Atlas Preparatory,57803010,Not Enrolled,0.228571429
Uplift Grand Preparatory,57803016,Not Enrolled,0.412698413
Uplift Hampton Preparatory,57803007,Not Enrolled,0.325
Uplift Heights Preparatory,57803006,Not Enrolled,0.231481481
Uplift Infinity Preparatory,57803013,Not Enrolled,0.282051282
Uplift Luna Preparatory,57803005,Not Enrolled,0.247311828
Uplift North Hills Preparatory,57803002,Not Enrolled,0.233333333
Uplift Williams Preparatory,57803004,Not Enrolled,0.21192053
Uplift Wisdom Preparatory,57803019,Not Enrolled,0.481012658
